Grupo;Casos Covid;Tem. Media;Gasto Medio
Barcelona-2022-6-1;177644;20,14;160
Barcelona-2022-6-2;180192;22,78;166
Barcelona-2022-7-1;202880;24,28;164
Barcelona-2022-7-2;312793;24,89;166
Barcelona-2022-8-1;183761;25,41;157
Barcelona-2022-8-2;181212;23,99;159
Girona-2022-6-1;23261;19,68;160
Girona-2022-6-2;23078;22,86;166
Girona-2022-7-1;25169;24,23;164
Girona-2022-7-2;39452;24,59;166
Girona-2022-8-1;23620;25,38;157
Girona-2022-8-2;23602;23,46;159
Madrid-2022-6-1;75772;20,17;225
Madrid-2022-6-2;72108;23,69;236
Madrid-2022-7-1;77946;26,18;245
Madrid-2022-7-2;139721;26,6;256
Madrid-2022-8-1;88708;26,38;268
Madrid-2022-8-2;86494;24,67;274
Malaga-2022-6-1;7277;26,26;116
Malaga-2022-6-2;7145;27,09;123
Malaga-2022-7-1;9779;27,89;121
Malaga-2022-7-2;19988;28,12;124
Malaga-2022-8-1;10620;26,34;121
Malaga-2022-8-2;8788;25,28;123
Mallorca-2022-6-1;23798;22,09;153
Mallorca-2022-6-2;23595;24,99;164
Mallorca-2022-7-1;26243;26,65;179
Mallorca-2022-7-2;43960;27,23;187
Mallorca-2022-8-1;28179;27,78;185
Mallorca-2022-8-2;27034;26,45;184
Sevilla-2022-6-1;8820;23,22;116
Sevilla-2022-6-2;8139;23,85;123
Sevilla-2022-7-1;8098;25,77;121
Sevilla-2022-7-2;15841;28,45;124
Sevilla-2022-8-1;11108;28,53;121
Sevilla-2022-8-2;8897;28,04;123
Valencia-2022-6-1;51316;21,22;104
Valencia-2022-6-2;53188;23,98;107
Valencia-2022-7-1;58691;25,45;110
Valencia-2022-7-2;91383;26,07;112
Valencia-2022-8-1;55446;26,72;105
Valencia-2022-8-2;54292;25,6;107
